id,h,place,e,n
1943,广州,从化,113.58,23.55
1944,韶关,韶关,113.6,24.82
1953,韶关,乐昌,113.35,25.13
1954,韶关,南雄,114.3,25.12
1955,深圳,深圳,114.05,22.55
1962,珠海,珠海,113.57,22.27
1966,汕头,汕头,116.68,23.35
1973,佛山,佛山,113.12,23.02
1978,江门,江门,113.08,22.58
1980,江门,台山,112.78,22.25
1981,江门,开平,112.67,22.38
1982,江门,鹤山,112.97,22.77
1983,江门,恩平,112.3,22.18
1984,湛江,湛江,110.35,21.27
1991,湛江,廉江,110.27,21.62
1992,湛江,雷州,110.08,20.92
1993,湛江,吴川,110.77,21.43
1994,茂名,茂名,110.92,21.67
1998,茂名,高州,110.85,21.92
1999,茂名,化州,110.63,21.67
2000,茂名,信宜,110.95,22.35
2001,肇庆,肇庆,112.47,23.05
2008,肇庆,高要,112.45,23.03
2009,肇庆,四会,112.68,23.33
2010,惠州,惠州,114.42,23.12
2016,梅州,梅州,116.12,24.28
2024,梅州,兴宁,115.73,24.15
2025,汕尾,汕尾,115.37,22.78
2028,汕尾,陆丰,115.65,22.95
2029,河源,河源,114.7,23.73
2036,阳江,阳江,111.98,21.87
2040,阳江,阳春,111.78,22.18
2041,清远,清远,113.03,23.7
2048,清远,英德,113.4,24.18
2049,清远,连州,112.38,24.78
2050,东莞,东莞,113.75,23.05
2051,中山,中山,113.38,22.52
2052,潮州,潮州,116.62,23.67
2056,揭阳,揭阳,116.37,23.55
2060,揭阳,普宁,116.18,23.3
2061,云浮,云浮,112.03,22.92
2066,云浮,罗定,111.57,22.77
2167,海口,海口,110.32,20.03
2172,三亚,三亚,109.5,18.25
2173,五指山,五指山,109.52,18.78
2174,五指山,琼海,110.47,19.25
2175,五指山,儋州,109.57,19.52
2176,五指山,文昌,110.8,19.55
2177,五指山,万宁,110.4,18.8
2178,五指山,东方,108.63,19.1
2189,重庆,重庆,106.55,29.57
2226,成都,成都,104.07,30.67
2242,成都,都江堰,103.62,31.0
2243,成都,彭州,103.93,30.98
2244,成都,邛崃,103.47,30.42
2245,成都,崇州,103.67,30.63
2246,自贡,自贡,104.78,29.35
2253,攀枝花,攀枝花,101.72,26.58
2259,泸州,泸州,105.43,28.87
2267,德阳,德阳,104.38,31.13
2271,德阳,广汉,104.28,30.98
2272,德阳,什邡,104.17,31.13
2273,德阳,绵竹,104.2,31.35
2274,绵阳,绵阳,104.73,31.47
2283,绵阳,江油,104.75,31.78
2284,广元,广元,105.83,32.43
2293,遂宁,遂宁,105.57,30.52
2299,内江,内江,105.05,29.58
2306,乐山,乐山,103.77,29.57
2318,乐山,峨眉山,103.48,29.6
2319,南充,南充,106.08,30.78
2328,南充,阆中,106.0,31.55
2329,眉山,眉山,103.83,30.05
2336,宜宾,宜宾,104.62,28.77
2347,广安,广安,106.63,30.47
2351,广安,华蓥,106.77,30.38
2352,达州,达州,107.5,31.22
2359,达州,万源,108.03,32.07
